postal_code,latitude,longitude
85259.0,33.5879,-111.8404
85254.0,33.6165,-111.9554
85257.0,33.4669,-111.9151
85901.0,34.2998,-110.0
85635.0,31.5365,-110.2666
85635.0,31.5365,-110.2666
85635.0,31.5365,-110.2666
85351.0,33.6061,-112.2797
85374.0,33.63,-112.3314
85379.0,33.6021,-112.3736
85374.0,33.63,-112.3314
85939.0,34.439,-110.0858
85283.0,33.3665,-111.9312
85282.0,33.3917,-111.9249
85281.0,33.4227,-111.9261
85282.0,33.3917,-111.9249
85353.0,33.4347,-112.2774
85353.0,33.4347,-112.2774
85354.0,33.4228,-112.9528
85713.0,32.1941,-110.9739
85745.0,32.2434,-111.0179
85746.0,32.1422,-111.0506
85719.0,32.2474,-110.9491
85706.0,32.1392,-110.9451
85714.0,32.1707,-110.9719
85741.0,32.3472,-111.0419
85705.0,32.2691,-110.9845
85705.0,32.2691,-110.9845
85712.0,32.25,-110.8869
85718.0,32.3112,-110.9179
85711.0,32.2127,-110.8829
85710.0,32.2138,-110.824
85710.0,32.2138,-110.824
85741.0,32.3472,-111.0419
85747.0,32.0984,-110.7272
85743.0,32.3366,-111.1771
85730.0,32.181,-110.819
85748.0,32.215,-110.7758
86023.0,35.9421,-112.1309
85358.0,33.9686,-112.7296
85643.0,32.373,-109.8631
86046.0,35.5434,-112.1707
86515.0,35.6676,-109.0784
86047.0,35.0242,-110.6974
85367.0,32.6566,-114.4042
85365.0,32.7093,-114.4905
85364.0,32.7015,-114.6424
85365.0,32.7093,-114.4905
94501.0,37.7706,-122.2648
91803.0,34.0745,-118.1434
91901.0,32.8282,-116.7543
91001.0,34.1912,-118.1392
92802.0,33.8085,-117.9228
92806.0,33.8356,-117.8681
92802.0,33.8085,-117.9228
92806.0,33.8356,-117.8681
92804.0,33.8186,-117.9729
92802.0,33.8085,-117.9228
92802.0,33.8085,-117.9228
92801.0,33.8428,-117.9546
94509.0,37.9939,-121.8089
94531.0,37.9658,-121.7758
92308.0,34.4698,-117.1927
92307.0,34.5291,-117.2132
92308.0,34.4698,-117.1927
91006.0,34.1324,-118.0264
91006.0,34.1324,-118.0264
90701.0,33.8654,-118.0731
93203.0,35.1966,-118.8336
95301.0,37.3489,-120.6028
95301.0,37.3489,-120.6028
91702.0,34.1248,-117.9031
91702.0,34.1248,-117.9031
92309.0,35.3606,-116.0638
92309.0,35.3606,-116.0638
93311.0,35.3039,-119.1056
93307.0,35.3275,-118.9839
93308.0,35.4244,-119.0433
93304.0,35.3396,-119.0218
93306.0,35.3867,-118.9391
93313.0,35.2974,-119.0509
93306.0,35.3867,-118.9391
93309.0,35.3384,-119.0627
93309.0,35.3384,-119.0627
93309.0,35.3384,-119.0627
93312.0,35.3935,-119.1205
93312.0,35.3935,-119.1205
93311.0,35.3039,-119.1056
91706.0,34.0964,-117.9682
92220.0,33.9282,-116.8899
92311.0,34.8914,-117.0387
90201.0,33.9653,-118.1515
90201.0,33.9653,-118.1515
90706.0,33.8867,-118.1265
92227.0,32.9792,-115.5296
92821.0,33.9291,-117.8845
90621.0,33.8772,-117.9893
90621.0,33.8772,-117.9893
90621.0,33.8772,-117.9893
91504.0,34.2001,-118.3264
91505.0,34.169,-118.3442
92231.0,32.6832,-115.5028
93010.0,34.2313,-119.0464
91303.0,34.1993,-118.5983
91303.0,34.1993,-118.5983
91351.0,34.4262,-118.449
90746.0,33.8584,-118.2554
90746.0,33.8584,-118.2554
90746.0,33.8584,-118.2554
90745.0,33.823,-118.2684
90745.0,33.823,-118.2684
91384.0,34.4827,-118.6254
92234.0,33.8098,-116.4665
95307.0,37.5833,-120.9496
90703.0,33.8669,-118.0686
91311.0,34.2583,-118.5914
91710.0,34.0125,-117.6844
91710.0,34.0125,-117.6844
91709.0,33.9797,-117.7308
91914.0,32.6587,-116.9652
91911.0,32.6084,-117.0565
91910.0,32.6371,-117.0676
95610.0,38.6946,-121.2692
95610.0,38.6946,-121.2692
93611.0,36.8253,-119.6802
92236.0,33.675,-116.1772
94014.0,37.6875,-122.4388
92324.0,34.0315,-117.2874
90220.0,33.8748,-118.2402
90220.0,33.8748,-118.2402
92882.0,33.8419,-117.6043
92883.0,33.7541,-117.474
92882.0,33.8419,-117.6043
92880.0,33.9208,-117.6096
92627.0,33.6483,-117.9155
92626.0,33.6801,-117.9085
92626.0,33.6801,-117.9085
91722.0,34.0972,-117.9065
91723.0,34.086,-117.8843
95531.0,41.7817,-124.1332
90230.0,33.9949,-118.3991
90230.0,33.9949,-118.3991
90230.0,33.9949,-118.3991
90630.0,33.8181,-118.0357
95618.0,38.5449,-121.7405
93215.0,35.7715,-119.2459
92240.0,33.9531,-116.5219
91765.0,34.0066,-117.8098
90240.0,33.9581,-118.1174
90242.0,33.9218,-118.1395
90242.0,33.9218,-118.1395
94568.0,37.7166,-121.9226
90022.0,34.0245,-118.1561
92020.0,32.7928,-116.9665
92021.0,32.8178,-116.9223
92019.0,32.7777,-116.9191
92243.0,32.7893,-115.5665
